product,region,archetype,research_hotspots,ai_creation,brand_context,platform_adaptation,multi_account_publishing,approval_governance,quality_compliance,analytics_inbox,agent_workflows,local_self_host,source_urls
蚁小二,中国,矩阵运营平台,0,1,0,1,2,1,1,2,1,1,https://www.yixiaoer.cn/index.html
新榜小豆芽,中国,矩阵运营平台,1,1,0,1,2,1,0,2,0,1,https://xdy.newrank.cn/
135编辑器,中国,公众号创作工具,0,2,0,1,1,1,0,0,0,0,https://www.135editor.com/
壹伴助手,中国,公众号运营插件,1,1,0,1,1,0,0,2,0,0,https://www.yibancn.com/
易撰,中国,选题与内容情报,2,1,0,0,0,0,2,1,0,0,https://zmt.yizhuan5.com/
Buffer,海外,社媒一体化平台,0,1,1,2,2,1,0,2,0,0,https://buffer.com/
Metricool,海外,社媒一体化平台,1,1,0,2,2,1,0,2,0,0,https://metricool.com/
Hootsuite,海外,企业社媒平台,1,1,1,2,2,2,1,2,1,0,https://www.hootsuite.com/whats-new/document-external-approvals
Sprout Social,海外,企业社媒平台,2,1,1,2,2,2,1,2,1,0,https://sproutsocial.com/features/
Jasper,海外,AI营销内容平台,0,2,2,2,0,1,1,0,2,0,https://www.jasper.ai/platform
Copy.ai,海外,AI营销内容平台,0,2,2,1,0,0,0,0,2,0,https://www.copy.ai/agents
Dify,中国/全球,通用Agent平台,0,1,0,0,0,2,0,1,2,2,https://github.com/langgenius/dify
n8n,海外,通用自动化平台,0,1,0,1,1,2,0,1,2,2,https://n8n.io/ai-agents/
